        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , Fan 1 Speed (%) [%] , Fan 1 Speed (RPM) [RPM] , Fan 2 Speed (%) [%] , Fan 2 Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , MVDDC Power Draw [W] , MVDDQ Power Draw [W] , PCIe Slot Power [W] , PCIe Slot Voltage [V] , 6-Pin #1 Power [W] , 6-Pin #1 Voltage [V] , 8-Pin #1 Power [W] , 8-Pin #1 Voltage [V] , USB-C Power Draw [W] , Power Consumption (%) [% TDP] , PerfCap Reason [] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2023-06-16 10:17:21 ,        1995.0   ,           1767.5   ,               63.3   ,        76.8   ,                53   ,                     0   ,                53   ,                     0   ,           7488   ,         99   ,                       39   ,                   0   ,                   24   ,              222.2   ,                 176.3   ,               14.1   ,               24.3   ,              39.9   ,                11.7   ,             91.1   ,               11.8   ,             91.0   ,               11.8   ,                0.1   ,                        80.8   ,              16   ,        1.0430   ,               67.0   ,                 21464   ,
2023-06-16 10:17:22 ,        1995.0   ,           1767.5   ,               63.2   ,        76.8   ,                53   ,                     0   ,                53   ,                     0   ,           7483   ,         99   ,                       39   ,                   0   ,                   24   ,              224.7   ,                 178.8   ,               14.1   ,               24.3   ,              40.1   ,                11.7   ,             91.9   ,               11.8   ,             92.5   ,               11.8   ,                0.1   ,                        81.7   ,              16   ,        1.0430   ,               67.0   ,                 21459   ,
2023-06-16 10:17:23 ,        1995.0   ,           1767.5   ,               63.3   ,        76.8   ,                53   ,                     0   ,                53   ,                     0   ,           7492   ,         99   ,                       39   ,                   0   ,                   24   ,              228.2   ,                 182.1   ,               14.1   ,               24.4   ,              41.1   ,                11.7   ,             93.5   ,               11.8   ,             93.4   ,               11.8   ,                0.1   ,                        83.0   ,              16   ,        1.0430   ,               68.0   ,                 21460   ,
2023-06-16 10:17:24 ,        1995.0   ,           1767.5   ,               63.4   ,        77.0   ,                53   ,                     0   ,                53   ,                     0   ,           7494   ,         99   ,                       39   ,                   0   ,                   24   ,              225.5   ,                 179.6   ,               14.1   ,               24.4   ,              40.8   ,                11.7   ,             92.0   ,               11.8   ,             92.4   ,               11.8   ,                0.1   ,                        82.0   ,              16   ,        1.0430   ,               73.0   ,                 21465   ,
2023-06-16 10:17:25 ,        1995.0   ,           1767.5   ,               63.4   ,        77.0   ,                53   ,                     0   ,                53   ,                     0   ,           7495   ,         99   ,                       39   ,                   0   ,                   24   ,              225.9   ,                 180.0   ,               14.2   ,               24.4   ,              40.8   ,                11.7   ,             92.3   ,               11.8   ,             92.7   ,               11.8   ,                0.1   ,                        82.2   ,              16   ,        1.0430   ,               71.0   ,                 21462   ,
2023-06-16 10:17:26 ,        1995.0   ,           1767.5   ,               63.4   ,        77.0   ,                53   ,                     0   ,                53   ,                     0   ,           7495   ,         99   ,                       39   ,                   0   ,                   24   ,              227.7   ,                 181.4   ,               14.2   ,               24.6   ,              41.1   ,                11.7   ,             93.1   ,               11.8   ,             93.2   ,               11.8   ,                0.1   ,                        82.8   ,              16   ,        1.0430   ,               68.0   ,                 21460   ,
2023-06-16 10:17:27 ,        1995.0   ,           1767.5   ,               63.6   ,        77.2   ,                53   ,                     0   ,                53   ,                     0   ,           7497   ,         97   ,                       39   ,                   0   ,                   24   ,              227.7   ,                 181.8   ,               14.2   ,               24.5   ,              40.9   ,                11.7   ,             93.3   ,               11.8   ,             93.3   ,               11.8   ,                0.1   ,                        82.8   ,              16   ,        1.0430   ,               64.0   ,                 21472   ,
2023-06-16 10:17:28 ,        1995.0   ,           1767.5   ,               63.5   ,        77.0   ,                53   ,                     0   ,                53   ,                     0   ,           7497   ,         99   ,                       39   ,                   0   ,                   24   ,              227.9   ,                 181.7   ,               14.2   ,               24.4   ,              41.2   ,                11.7   ,             93.1   ,               11.8   ,             93.3   ,               11.8   ,                0.1   ,                        82.9   ,              16   ,        1.0430   ,               63.0   ,                 21465   ,
2023-06-16 10:17:29 ,        1995.0   ,           1767.5   ,               63.3   ,        76.8   ,                53   ,                     0   ,                53   ,                     0   ,           7495   ,         99   ,                       39   ,                   0   ,                   24   ,              222.5   ,                 176.8   ,               14.1   ,               24.2   ,              40.4   ,                11.7   ,             90.8   ,               11.8   ,             91.1   ,               11.8   ,                0.1   ,                        80.9   ,              16   ,        1.0430   ,               68.0   ,                 21326   ,
2023-06-16 10:17:30 ,        1995.0   ,           1767.5   ,               63.6   ,        77.2   ,                53   ,                     0   ,                53   ,                     0   ,           7502   ,         99   ,                       39   ,                   0   ,                   24   ,              222.6   ,                 177.2   ,               14.0   ,               24.2   ,              40.1   ,                11.7   ,             91.1   ,               11.8   ,             91.1   ,               11.8   ,                0.1   ,                        80.9   ,              16   ,        1.0430   ,               72.0   ,                 21315   ,
